indicator_id,serie_id,value,performance,reliability,source,city_1_id,city_1_serie,city_1_value,city_1_performance,city_2_id,city_2_serie,city_2_value,city_2_performance,city_3_id,city_3_serie,city_3_value,city_3_performance,city_4_id,city_4_serie,city_4_value,city_4_performance
"53,""1"",""70.56"",""0"",""N/D"",""Superficie Áreas Públicas N/D"",""ASU"",""2014"",""6"",""3"",""FLN"",""2008"",""69.4"",""1"",""PRA"",""2013"",""103"",""1"",""MVD"",""2012"",""13.22"",""1"""
"54,""1"",""SI/NO"",""0"",""A1"",""Elaboración propia"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"55,""1"",""SI"",""0"",""A1"",""Elaboración propia"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"56,""1"",""6.8"",""0"",""B2"",""FCEyS, en base a FIEL y EPH"",""ASU"",""2014"",""16.5"",""2"",""FLN"",""2013"",""1.35"",""1"",""LAP"",""2012"",""24.7"",""2"",""MVD"",""2010"",""21.6"",""2"""
"57,""1"",""N/D"",""0"",""A2"",""Ver Manual"",""CBB"",""2014"",""21"",""2"",""FLN"",""2010"",""3.41"",""1"",""LAP"",""2010"",""4.7"",""1"",""MVD"",""2004"",""7.3"",""1"""
"58,""1"",""0.3844"",""0"",""A2"",""FCEyS, en base a EPH"",""ASU"",""2011"",""0.47"",""3"",""FLN"",""2013"",""0.54"",""3"",""LAP"",""2012"",""0.44"",""2"",""MVD"",""2012"",""0.43"",""2"""
"59,""1"",""0"",""0"",""A1"",""MGP| Dirección Movilidad"",""ASU"",""2014"",""0"",""3"",""FLN"",""2014"",""0"",""3"",""CUE"",""2014"",""2.9"",""3"","""","""","""","""""
"60,""1"",""60.2"",""0"",""N/D"",""N/D"",""PRA"",""2014"",""41.98"",""0"",""SLA"",""2012"",""18.5"",""0"",""LAP"",""2011"",""51"",""0"",""MVD"",""2009"",""43"",""0"""
"61,""1"",""20.6"",""0"",""N/D"",""N/D"",""ASU"",""2014"",""62"",""2"",""FLN"",""2011"",""31"",""3"",""LAP"",""2012"",""37.5"",""3"",""MVD"",""2009"",""46"",""3"""
"62,""1"",""3.1"",""0"",""N/D"",""N/D"",""CBB"",""2013"",""7"",""0"",""PRA"",""2012"",""7.51"",""0"",""LAP"",""2012"",""1.3"",""0"",""MVD"",""2009"",""2"",""0"""
"63,""1"",""16.1"",""0"",""N/D"",""N/D"",""CBB"",""2013"",""33"",""0"",""PRA"",""2012"",""6.83"",""0"",""LAP"",""2012"",""10.14"",""0"",""MVD"",""2009"",""9"",""0"""
"64,""1"",""0"",""0"",""A2"",""N/D"",""CBB"",""2013"",""0"",""3"",""SLA"",""2015"",""0"",""3"",""LAP"",""2012"",""0"",""3"",""MVD"",""2012"",""2"",""2"""
